11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
ALXN,ADBE,ALXN,ABT,ALXN,ABT,ALXN,ABT,ALXN,MMM,ADBE,ADBE,ADBE,AMAT,AOS,ADBE
AOS,ALK,AOS,ATVI,AOS,ATVI,AOS,ATVI,AOS,ABT,ALXN,ALXN,ALXN,DRI,AMAT,ALXN
AMAT,ALXN,AMAT,ADBE,AMAT,ADBE,AMAT,ADBE,AMAT,ATVI,AOS,AOS,AMZN,DAL,DRI,AMZN
DRI,AMZN,CF,AES,CF,AES,CF,AAP,CF,ADBE,AMAT,AMAT,AOS,MCK,DAL,AON
DAL,AWK,DRI,AKAM,CL,AKAM,CL,AES,CL,AMD,CF,CF,AAPL,NLOK,HBAN,AOS
HBAN,AON,DAL,ALK,CMCSA,ALK,CMCSA,AFL,CMCSA,AAP,CL,CTXS,AMAT,PYPL,MCK,AAPL
MCK,AOS,EXPD,ALXN,DRI,ALXN,DRI,APD,DRI,AES,CMCSA,CL,AJG,RHI,NLOK,AMAT
NLOK,AAPL,HBAN,AMZN,DAL,ALLE,DAL,AKAM,DAL,AFL,DRI,CMCSA,BA,,PYPL,AJG
PYPL,AMAT,MCK,AWK,EXPD,GOOG,EBAY,ALK,DISH,APD,DAL,CSX,BSX,,RHI,BA
RHI,AJG,NLOK,ANTM,IT,AMZN,EXPD,ALXN,EBAY,AKAM,DISH,DRI,COF,,,BSX
UNP,BKR,PYPL,AON,HBAN,AWK,IT,ALGN,EXPD,ALK,DRE,DAL,CCL,,,BR
,BIIB,RTX,AOS,MCK,AMP,HRL,ALLE,IT,ARE,EBAY,DISCK,CF,,,COF
,BLK,RHI,APA,NLOK,AME,HBAN,ALL,HRL,ALXN,EXPD,DISH,CB,,,CCL
,BA,UNP,AAPL,PYPL,ADI,MCK,GOOGL,HBAN,ALGN,IT,DRE,CTXS,,,CBOE
,BSX,,AMAT,RTX,ANSS,NLOK,GOOG,MCK,ALLE,HRL,EBAY,CL,,,CF
,BR,,AJG,RHI,ANTM,PH,AMZN,MCHP,LNT,HBAN,ECL,CMCSA,,,CB
,COG,,AVY,UNP,AON,PYPL,AMCR,NLOK,ALL,IEX,EL,CSX,,,CTXS
,COF,,BKR,UHS,AOS,PPL,AEE,PH,GOOGL,INTC,EXPD,DRI,,,CL
,CCL,,BIIB,,APA,RTX,AAL,PYPL,GOOG,MCK,IT,DAL,,,CMCSA
,CTLT,,BLK,,AAPL,RHI,AXP,PSX,AMZN,MCHP,HRL,DISCK,,,CPRT
,CBOE,,BA,,AMAT,SPG,AWK,PPL,AMCR,NLOK,HBAN,DISH,,,CSX
,CF,,BSX,,AJG,UNP,AMP,PGR,AEE,PH,IEX,DRE,,,DRI
,CB,,BMY,,AVY,UHS,AME,RTX,AAL,PYPL,INTC,EBAY,,,DAL
,CTXS,,AVGO,,BKR,,ADI,RHI,AXP,PSX,IP,ECL,,,XRAY
,CTSH,,BR,,BAC,,ANSS,SPG,AIG,PPL,IPGP,EIX,,,DXCM
,CL,,COG,,BIIB,,ANTM,SWKS,AMT,PGR,J,EA,,,DISCK
,CMCSA,,COF,,BLK,,AON,UDR,AWK,PRU,KEYS,EL,,,DISH
,CPRT,,CCL,,BA,,AOS,UNP,AMP,RTX,MCK,EXPD,,,D
,CSX,,CTLT,,BSX,,APA,UHS,ABC,RHI,MCHP,FIS,,,DPZ
,CMI,,CBOE,,BMY,,AAPL,XEL,AME,SPG,NLOK,FLIR,,,DTE
,DRI,,CERN,,AVGO,,AMAT,,AMGN,SWKS,PH,FOXA,,,DRE
